Kingdom,Phylum,Subphylum,Superclass,Subsuperclass,Class,Infraclass,Superorder,Order,Family,Genus,Species,Annotation_level,QMIC1955_COI_QU39-2017,QMIC1956_COI_QU39-2017,QMIC1957_COI_QU39-2017,QMIC1958_COI_QU39-2017,QMIC1959_COI_QU39-2017,QMIC1965_COI_QU39-2017,QMIC1966_COI_QU39-2017,QMIC1967_COI_QU39-2017,QMIC1968_COI_QU39-2017,QMIC1969_COI_QU39-2017,QMIC1975_COI_QU39-2017,QMIC1976_COI_QU39-2017,QMIC1977_COI_QU39-2017,QMIC1978_COI_QU39-2017,QMIC1979_COI_QU39-2017,QMIC1985_COI_QU39-2017,QMIC1986_COI_QU39-2017,QMIC1987_COI_QU39-2017,QMIC1988_COI_QU39-2017,QMIC1989_COI_QU39-2017,QMIC1995_COI_QU39-2017,QMIC1996_COI_QU39-2017,QMIC1997_COI_QU39-2017,QMIC1998_COI_QU39-2017,QMIC1999_COI_QU39-2017,QMIC2005_COI_QU39-2017,QMIC2006_COI_QU39-2017,QMIC2007_COI_QU39-2017,QMIC2008_COI_QU39-2017,QMIC2009_COI_QU39-2017,QMIC2015_COI_QU39-2017,QMIC2016_COI_QU39-2017,QMIC2017_COI_QU39-2017,QMIC2018_COI_QU39-2017,QMIC2019_COI_QU39-2017,QMIC2025_COI_QU39-2017,QMIC2026_COI_QU39-2017,QMIC2027_COI_QU39-2017,QMIC2028_COI_QU39-2017,QMIC2029_COI_QU39-2017,QMIC2035_COI_QU39-2017,QMIC2036_COI_QU39-2017,QMIC2037_COI_QU39-2017,QMIC2038_COI_QU39-2017,QMIC2039_COI_QU39-2017,QMIC2045_COI_QU39-2017,QMIC2046_COI_QU39-2017,QMIC2047_COI_QU39-2017,QMIC2048_COI_QU39-2017,QMIC2049_COI_QU39-2017,QMIC2055_COI_QU39-2017,QMIC2056_COI_QU39-2017,QMIC2057_COI_QU39-2017,QMIC2058_COI_QU39-2017,QMIC2059_COI_QU39-2017,QMIC2065_COI_QU39-2017,QMIC2066_COI_QU39-2017,QMIC2067_COI_QU39-2017,QMIC2068_COI_QU39-2017,QMIC2069_COI_QU39-2017,QMIC2075_COI_QU39-2017,QMIC2076_COI_QU39-2017,QMIC2077_COI_QU39-2017,QMIC2078_COI_QU39-2017,QMIC2079_COI_QU39-2017,QMIC2085_COI_QU39-2017,QMIC2086_COI_QU39-2017,QMIC2087_COI_QU39-2017,QMIC2088_COI_QU39-2017,QMIC2089_COI_QU39-2017,QMIC2095_COI_QU39-2017,QMIC2096_COI_QU39-2017,QMIC2097_COI_QU39-2017,QMIC2098_COI_QU39-2017,QMIC2099_COI_QU39-2017,QMIC2102_COI_QU39-2017,QMIC2105_COI_QU39-2017,QMIC2106_COI_QU39-2017,QMIC2108_COI_QU39-2017,QMIC2109_COI_QU39-2017,QMIC2115_COI_QU39-2017,QMIC2116_COI_QU39-2017,QMIC2117_COI_QU39-2017,QMIC2118_COI_QU39-2017,QMIC2119_COI_QU39-2017,QMIC2125_COI_QU39-2017,QMIC2126_COI_QU39-2017,QMIC2127_COI_QU39-2017,QMIC2128_COI_QU39-2017,QMIC2129_COI_QU39-2017,QMIC2135_COI_QU39-2017,QMIC2136_COI_QU39-2017,QMIC2137_COI_QU39-2017,QMIC2138_COI_QU39-2017,QMIC2139_COI_QU39-2017,QMIC2145_COI_QU39-2017,QMIC2146_COI_QU39-2017,QMIC2147_COI_QU39-2017,QMIC2148_COI_QU39-2017,QMIC2149_COI_QU39-2017,QMIC2155_COI_QU39-2017,QMIC2156_COI_QU39-2017,QMIC2157_COI_QU39-2017,QMIC2158_COI_QU39-2017,QMIC2159_COI_QU39-2017,QMIC2174_COI_QU39-2017,QMIC2175_COI_QU39-2017,QMIC2176_COI_QU39-2017,QMIC2177_COI_QU39-2017,QMIC2178_COI_QU39-2017,QMIC2184_COI_QU39-2017,QMIC2185_COI_QU39-2017,QMIC2186_COI_QU39-2017,QMIC2187_COI_QU39-2017,QMIC2188_COI_QU39-2017,QMIC2193_COI_QU39-2017,QMIC2194_COI_QU39-2017,QMIC2195_COI_QU39-2017,QMIC2196_COI_QU39-2017,QMIC2197_COI_QU39-2017,QMIC2203_COI_QU39-2017,QMIC2204_COI_QU39-2017,QMIC2205_COI_QU39-2017,QMIC2206_COI_QU39-2017,QMIC2207_COI_QU39-2017,QMIC2213_COI_QU39-2017,QMIC2214_COI_QU39-2017,QMIC2215_COI_QU39-2017,QMIC2216_COI_QU39-2017,QMIC2217_COI_QU39-2017,QMIC2223_COI_QU39-2017,QMIC2224_COI_QU39-2017,QMIC2225_COI_QU39-2017,QMIC2226_COI_QU39-2017,QMIC2227_COI_QU39-2017,QMIC2233_COI_QU39-2017,QMIC2234_COI_QU39-2017,QMIC2235_COI_QU39-2017,QMIC2236_COI_QU39-2017,QMIC2237_COI_QU39-2017,QMIC2243_COI_QU39-2017,QMIC2244_COI_QU39-2017,QMIC2245_COI_QU39-2017,QMIC2246_COI_QU39-2017,QMIC2247_COI_QU39-2017,QMIC2253_COI_QU39-2017,QMIC2254_COI_QU39-2017,QMIC2255_COI_QU39-2017,QMIC2256_COI_QU39-2017,QMIC2257_COI_QU39-2017,QMIC2263_COI_QU39-2017,QMIC2264_COI_QU39-2017,QMIC2265_COI_QU39-2017,QMIC2266_COI_QU39-2017,QMIC2267_COI_QU39-2017,QMIC2274_COI_QU39-2017,QMIC2275_COI_QU39-2017,QMIC2276_COI_QU39-2017,QMIC2277_COI_QU39-2017,QMIC2278_COI_QU39-2017,QMIC2284_COI_QU39-2017,QMIC2285_COI_QU39-2017,QMIC2286_COI_QU39-2017,QMIC2287_COI_QU39-2017,QMIC2288_COI_QU39-2017,QMIC2294_COI_QU39-2017,QMIC2295_COI_QU39-2017,QMIC2296_COI_QU39-2017,QMIC2297_COI_QU39-2017,QMIC2298_COI_QU39-2017,QMIC2310_COI_QU39-2017,QMIC2311_COI_QU39-2017,QMIC2313_COI_QU39-2017,QMIC2314_COI_QU39-2017,QMIC2326_COI_QU39-2017,QMIC2327_COI_QU39-2017,QMIC2328_COI_QU39-2017,QMIC2329_COI_QU39-2017,QMIC2330_COI_QU39-2017,QMIC2336_COI_QU39-2017,QMIC2337_COI_QU39-2017,QMIC2338_COI_QU39-2017,QMIC2339_COI_QU39-2017,QMIC2340_COI_QU39-2017,QMIC2346_COI_QU39-2017,QMIC2347_COI_QU39-2017,QMIC2348_COI_QU39-2017,QMIC2349_COI_QU39-2017,QMIC2350_COI_QU39-2017,QMIC2356_COI_QU39-2017,QMIC2357_COI_QU39-2017,QMIC2358_COI_QU39-2017,QMIC2359_COI_QU39-2017,QMIC2360_COI_QU39-2017,QMIC2366_COI_QU39-2017,QMIC2367_COI_QU39-2017,QMIC2368_COI_QU39-2017,QMIC2369_COI_QU39-2017,QMIC2370_COI_QU39-2017,QMIC2372_COI_QU39-2017,QMIC2374_COI_QU39-2017,QMIC2376_COI_QU39-2017,QMIC2378_COI_QU39-2017,QMIC2380_COI_QU39-2017,QMIC2386_COI_QU39-2017,QMIC2387_COI_QU39-2017,QMIC2388_COI_QU39-2017,QMIC2389_COI_QU39-2017,QMIC2390_COI_QU39-2017,QMIC2396_COI_QU39-2017,QMIC2397_COI_QU39-2017,QMIC2398_COI_QU39-2017,QMIC2399_COI_QU39-2017,QMIC2400_COI_QU39-2017,QPK1506-EtOH_COI_QU39-2017,QPK1506-bulk_COI_QPKbulk_2017,QPK1512-EtOH_COI_QU39-2017,QPK1512-bulk_COI_QPKbulk_2017,QPK1530-bulk_COI_QPKbulk_2017,QPK1534-EtOH_COI_QU39-2017,QPK1534-bulk_COI_QPKbulk_2017,QPK1558-EtOH_COI_QU39-2017,QPK1558-bulk_COI_QPKbulk_2017,QPK1569-EtOH_COI_QU39-2017,QPK1569-bulk_COI_QPKbulk_2017,QPK1576-EtOH_COI_QU39-2017,QPK1576-bulk_COI_QPKbulk_2017,QPK1593-EtOH_COI_QU39-2017,QPK1593-bulk_COI_QPKbulk_2017,QPK1600-EtOH_COI_QU39-2017,QPK1600-bulk_COI_QPKbulk_2017,QPK1613-EtOH_COI_QU39-2017,QPK1613-bulk_COI_QPKbulk_2017,QPK1621-EtOH_COI_QU39-2017,QPK1621-bulk_COI_QPKbulk_2017,QPK1629-EtOH_COI_QU39-2017,QPK1629-bulk_COI_QPKbulk_2017,QPK1640-bulk_COI_QPKbulk_2017,QPK1652-EtOH_COI_QU39-2017,QPK1652-bulk_COI_QPKbulk_2017,QPK1664-EtOH_COI_QU39-2017,QPK1664-bulk_COI_QPKbulk_2017,QPK1670-EtOH_COI_QU39-2017,QPK1670-bulk_COI_QPKbulk_2017,QPK1678-EtOH_COI_QU39-2017,QPK1678-bulk_COI_QPKbulk_2017,QPK1696-EtOH_COI_QU39-2017,QPK1696-bulk_COI_QPKbulk_2017,QPK1713-EtOH_COI_QU39-2017,QPK1713-bulk_COI_QPKbulk_2017,QPK1727-EtOH_COI_QU39-2017,QPK1727-bulk_COI_QPKbulk_2017,QPK1737-bulk_COI_QPKbulk_2017,QPK962-EtOH_COI_QU39-2017,QPK962-bulk_COI_QPKbulk_2017,QPK979-bulk_COI_QPKbulk_2017,QPK988-EtOH_COI_QU39-2017
@,@@,@@@,@@@@,@@@@@,@@@@@@,@@@@@@@,@@@@@@@@,@@@@@@@@@,@@@@@@@@@@,@@@@@@@@@@@,@@@@@@@@@@@@,0,955,942,1439,701,1314,587,761,794,1635,1214,1112,876,763,1432,1557,445,719,538,1091,1539,439,384,935,953,2953,801,886,1249,1603,1556,1278,752,1293,3813,1277,758,599,941,3489,1062,2308,2351,1985,2389,710,3507,4019,1175,2626,1659,1303,1670,1673,2154,1243,177,206,641,2069,1220,145,171,3406,1666,1568,208,654,2131,2631,1566,1386,1023,3414,926,391,1105,621,547,2449,730,1063,475,1879,1229,372,949,496,1518,786,226,734,844,2258,758,1173,1201,823,1815,1118,749,1714,634,3193,1081,634,3545,3467,3530,944,1558,6578,3895,2954,1936,1131,1629,1840,4613,1385,1657,1563,1184,4555,1703,1496,1970,3436,3818,1660,1893,13314,15210,3745,2629,2599,9271,4566,9071,1948,1895,1378,1867,1192,1381,1259,1789,2107,2184,1635,1339,4798,3005,2461,3009,2306,2008,1583,2891,2783,2080,2803,2721,3752,1139,364,770,783,4193,1961,2617,1132,1696,3105,1151,2215,1167,2215,1435,3371,3043,2499,4535,1627,1902,2113,2760,4861,1958,517,4490,4622,4761,1923,1306,4554,3507,3301,2562,1838,2547,2190,3034,3272,1324,1451,2463,2281,2002,864,1256,620,1771,1672,1929,172,0,0,0,0,11,11,0,0,4,0,349,13,0,0,0,0,0,0,0,0,0,0,0,77,0,59,0,68,2,0,0,88,0,0,0,0,0,0,103,0,0,0
Animalia,Animalia@,Animalia@@,Animalia@@@,Animalia@@@@,Animalia@@@@@,Animalia@@@@@@,Animalia@@@@@@@,Animalia@@@@@@@@,Animalia@@@@@@@@@,Animalia@@@@@@@@@@,Animalia@@@@@@@@@@@,1,11451,12901,15925,4453,3009,11645,16233,15834,11643,6559,14537,14003,14880,7382,6966,13949,19809,16923,9563,8833,30715,25802,12882,7176,13459,4430,4576,12076,13221,14339,7432,3801,8633,9132,6716,10664,8637,10649,7143,7363,11439,10674,9664,3527,14030,5149,5077,2613,8165,7609,5439,4914,2661,6452,22349,6276,5396,6554,6527,4798,8263,7599,9162,5849,9477,2163,5829,5475,9901,8265,9392,6023,7276,7315,27631,6584,6416,34173,21668,5623,3370,2499,6684,7218,23122,12202,16741,7665,10087,24955,6945,7625,9574,7154,9730,5193,6644,8202,9129,15726,6009,4008,15601,6868,2525,11484,7925,11572,4870,6226,8298,4021,6058,9030,4751,9216,8284,10744,5194,5346,10386,9618,10140,5596,4860,9148,12654,12870,6335,4395,9573,15467,13221,8878,6491,30602,35171,10147,5744,6782,15128,10673,8150,5712,3328,23578,23360,16719,8159,5427,30321,22436,13805,8582,21438,16723,12141,13082,11524,5889,15643,16418,13286,4311,2895,12712,11107,12946,9136,7619,7928,12296,10088,5338,17862,13263,17520,5791,9337,31045,24455,14093,5804,5906,12537,17636,23359,9346,1686,9299,9855,11657,9826,4651,12574,10868,11638,10126,5313,13297,11369,14688,9357,5027,14346,27351,16007,7760,3543,28754,16675,15586,6109,5071,1620,31214,1807,22660,2724,1697,3943,1823,4489,3155,5072,2466,5186,1345,39577,671,5237,143,39,649,1161,1476,40916,1558,1305,9581,2141,17629,4454,5552,476,23871,2634,7966,66,22142,3250,13864,43380,1486,6956,298,1848
Animalia,Annelida,Annelida_EXT,Annelida_EXT,Polychaeta,Errantia,Errantia_EXT,Errantia_EXT,Eunicida,Lumbrineridae,Lumbrineris,Lumbrineris cruzensis,12,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animalia,Annelida,Annelida_EXT,Annelida_EXT,Polychaeta,Errantia,Errantia_EXT,Errantia_EXT,Phyllodocida,Aphroditidae,Aphrodita,Aphrodita longipalpa,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,50,0,0,0,0,88,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animalia,Annelida,Annelida_EXT,Annelida_EXT,Polychaeta,Errantia,Errantia_EXT,Errantia_EXT,Phyllodocida,Goniadidae,Glycinde,Glycinde picta,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animalia,Annelida,Annelida_EXT,Annelida_EXT,Polychaeta,Errantia,Errantia_EXT,Errantia_EXT,Phyllodocida,Hesionidae,Micropodarke,Micropodarke dubia,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,8,0,0,0,30,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animalia,Annelida,Annelida_EXT,Annelida_EXT,Polychaeta,Errantia,Errantia_EXT,Errantia_EXT,Phyllodocida,Nereididae,Micronereis,Micronereis nanaimoensis,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animalia,Annelida,Annelida_EXT,Annelida_EXT,Polychaeta,Errantia,Errantia_EXT,Errantia_EXT,Phyllodocida,Nereididae,Platynereis,Platynereis bicanaliculata,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animalia,Annelida,Annelida_EXT,Annelida_EXT,Polychaeta,Errantia,Errantia_EXT,Errantia_EXT,Phyllodocida,Polynoidae,Gattyana,Gattyana cirrhosa,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animalia,Annelida,Annelida_EXT,Annelida_EXT,Polychaeta,Errantia,Errantia_EXT,Errantia_EXT,Phyllodocida,Polynoidae,Harmothoe,Harmothoe dictyophora,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,201,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
