library_ID,collection_date,depth,lat_lon,source_material_id,title,sra_accession,biosample_accession,bioproject_accession,collection_method,size_frac,design_description,geo_loc_name,samp_collect_device,samp_mat_process,samp_size,samp_store_temp
QMIC1955_18S_QU39_3,2017-01-08,0,50.0307 N 125.0992 W,QMIC1955,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31365004,SAMN44770504,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1956_18S_QU39_3,2017-01-08,5,50.0307 N 125.0992 W,QMIC1956,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31365003,SAMN44770505,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,1900 ml,-80
QMIC1957_18S_QU39_3,2017-01-08,30,50.0307 N 125.0992 W,QMIC1957,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364927,SAMN44770506,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1958_18S_QU39_3,2017-01-08,100,50.0307 N 125.0992 W,QMIC1958,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364836,SAMN44770507,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1959_18S_QU39_3,2017-01-08,260,50.0307 N 125.0992 W,QMIC1959,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364825,SAMN44770508,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1965_18S_QU39_3,2017-01-15,0,50.0307 N 125.0992 W,QMIC1965,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364814,SAMN44770509,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1966_18S_QU39_3,2017-01-15,5,50.0307 N 125.0992 W,QMIC1966,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364992,SAMN44770510,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1967_18S_QU39_3,2017-01-15,30,50.0307 N 125.0992 W,QMIC1967,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364981,SAMN44770511,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,1900 ml,-80
QMIC1968_18S_QU39_3,2017-01-15,100,50.0307 N 125.0992 W,QMIC1968,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364862,SAMN44770512,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1969_18S_QU39_3,2017-01-15,260,50.0307 N 125.0992 W,QMIC1969,18S metabarcoding targeting marine eukaryotes in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364851,SAMN44770513,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,Metabarcoding of 18S (V4) using V4-565F and V4981R (Balzano et al 2015) with fusion primers.,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
