library_ID,collection_date,depth,lat_lon,source_material_id,title,sra_accession,biosample_accession,bioproject_accession,collection_method,size_frac,design_description,geo_loc_name,samp_collect_device,samp_mat_process,samp_size,samp_store_temp
QMIC1955_COI_QU39-2017,2017-01-08,0,50.0307 N 125.0992 W,QMIC1955,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364744,SAMN44770504,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1956_COI_QU39-2017,2017-01-08,5,50.0307 N 125.0992 W,QMIC1956,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364743,SAMN44770505,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,1900 ml,-80
QMIC1957_COI_QU39-2017,2017-01-08,30,50.0307 N 125.0992 W,QMIC1957,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364514,SAMN44770506,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1958_COI_QU39-2017,2017-01-08,100,50.0307 N 125.0992 W,QMIC1958,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364546,SAMN44770507,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1959_COI_QU39-2017,2017-01-08,260,50.0307 N 125.0992 W,QMIC1959,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364507,SAMN44770508,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1965_COI_QU39-2017,2017-01-15,0,50.0307 N 125.0992 W,QMIC1965,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364496,SAMN44770509,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1966_COI_QU39-2017,2017-01-15,5,50.0307 N 125.0992 W,QMIC1966,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364485,SAMN44770510,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1967_COI_QU39-2017,2017-01-15,30,50.0307 N 125.0992 W,QMIC1967,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364611,SAMN44770511,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,1900 ml,-80
QMIC1968_COI_QU39-2017,2017-01-15,100,50.0307 N 125.0992 W,QMIC1968,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364600,SAMN44770512,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1969_COI_QU39-2017,2017-01-15,260,50.0307 N 125.0992 W,QMIC1969,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364686,SAMN44770513,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1975_COI_QU39-2017,2017-01-26,0,50.0307 N 125.0992 W,QMIC1975,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364742,SAMN44770514,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1976_COI_QU39-2017,2017-01-26,5,50.0307 N 125.0992 W,QMIC1976,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364665,SAMN44770515,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,1700 ml,-80
QMIC1977_COI_QU39-2017,2017-01-26,30,50.0307 N 125.0992 W,QMIC1977,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364737,SAMN44770516,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1978_COI_QU39-2017,2017-01-26,100,50.0307 N 125.0992 W,QMIC1978,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364726,SAMN44770517,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1979_COI_QU39-2017,2017-01-26,260,50.0307 N 125.0992 W,QMIC1979,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364715,SAMN44770518,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1985_COI_QU39-2017,2017-02-17,0,50.0307 N 125.0992 W,QMIC1985,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364583,SAMN44770519,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1986_COI_QU39-2017,2017-02-17,5,50.0307 N 125.0992 W,QMIC1986,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364572,SAMN44770520,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1987_COI_QU39-2017,2017-02-17,30,50.0307 N 125.0992 W,QMIC1987,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364536,SAMN44770521,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1988_COI_QU39-2017,2017-02-17,100,50.0307 N 125.0992 W,QMIC1988,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364525,SAMN44770522,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1989_COI_QU39-2017,2017-02-17,260,50.0307 N 125.0992 W,QMIC1989,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364513,SAMN44770523,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1995_COI_QU39-2017,2017-02-25,0,50.0307 N 125.0992 W,QMIC1995,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364638,SAMN44770524,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1996_COI_QU39-2017,2017-02-25,5,50.0307 N 125.0992 W,QMIC1996,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364627,SAMN44770525,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1997_COI_QU39-2017,2017-02-25,30,50.0307 N 125.0992 W,QMIC1997,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364709,SAMN44770526,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1998_COI_QU39-2017,2017-02-25,100,50.0307 N 125.0992 W,QMIC1998,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364698,SAMN44770527,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC1999_COI_QU39-2017,2017-02-25,260,50.0307 N 125.0992 W,QMIC1999,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364562,SAMN44770528,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC2005_COI_QU39-2017,2017-03-15,0,50.0307 N 125.0992 W,QMIC2005,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364551,SAMN44770529,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC2006_COI_QU39-2017,2017-03-15,5,50.0307 N 125.0992 W,QMIC2006,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364549,SAMN44770530,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC2007_COI_QU39-2017,2017-03-15,30,50.0307 N 125.0992 W,QMIC2007,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364548,SAMN44770531,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,1950 ml,-80
QMIC2008_COI_QU39-2017,2017-03-15,100,50.0307 N 125.0992 W,QMIC2008,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364547,SAMN44770532,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC2009_COI_QU39-2017,2017-03-15,260,50.0307 N 125.0992 W,QMIC2009,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364545,SAMN44770533,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
QMIC2015_COI_QU39-2017,2017-03-30,0,50.0307 N 125.0992 W,QMIC2015,COI metbarcoding targeting Marine Innvertebrates in a Seawater Metagenome from Northern Strait of Georgia BC,SRR31364544,SAMN44770534,PRJNA1141475,Sterivex Seawater filtration: https://dx.doi.org/10.17504/protocols.io.rm7vzjxrrlx1/v1,0.22 micrometer,COI Gene Metabarcoding: https://dx.doi.org/10.17504/protocols.io.261ge5d7yg47/v1,Canada: British Columbia,Niskin Bottle,DNA Extraction from 0.22 micrometer Sterivex Filters - Phenol Chloroform: https://dx.doi.org/10.17504/protocols.io.14egn63oql5d/v1,2000 ml,-80
