Hakai_ID,Sample_date,Site_ID,Line_out_depth,Time_collected,Time_preserved,Sample_volume_ml
QMIC1955,2017-01-08T00:00:00Z,QU39,0,2017-01-08T11:11:49Z,2017-01-08T14:12:39Z,2000
QMIC1956,2017-01-08T00:00:00Z,QU39,5,2017-01-08T11:11:49Z,2017-01-08T14:12:39Z,1900
QMIC1957,2017-01-08T00:00:00Z,QU39,30,2017-01-08T11:11:49Z,2017-01-08T14:12:39Z,2000
QMIC1958,2017-01-08T00:00:00Z,QU39,100,2017-01-08T11:11:49Z,2017-01-08T14:12:39Z,2000
QMIC1959,2017-01-08T00:00:00Z,QU39,260,2017-01-08T10:15:21Z,2017-01-08T10:37:20Z,2000
QMIC1965,2017-01-15T00:00:00Z,QU39,0,2017-01-15T11:20:14Z,2017-01-15T11:56:01Z,2000
QMIC1966,2017-01-15T00:00:00Z,QU39,5,2017-01-15T11:20:14Z,2017-01-15T11:56:01Z,2000
QMIC1967,2017-01-15T00:00:00Z,QU39,30,2017-01-15T11:20:14Z,2017-01-15T11:56:01Z,1900
QMIC1968,2017-01-15T00:00:00Z,QU39,100,2017-01-15T11:20:14Z,2017-01-15T11:56:01Z,2000
QMIC1969,2017-01-15T00:00:00Z,QU39,260,2017-01-15T10:01:10Z,2017-01-15T11:18:50Z,2000
QMIC1975,2017-01-26T00:00:00Z,QU39,0,2017-01-26T09:46:03Z,2017-01-26T10:27:00Z,2000
QMIC1976,2017-01-26T00:00:00Z,QU39,5,2017-01-26T09:46:03Z,2017-01-26T10:27:00Z,1700
QMIC1977,2017-01-26T00:00:00Z,QU39,30,2017-01-26T09:46:03Z,2017-01-26T10:27:00Z,2000
QMIC1978,2017-01-26T00:00:00Z,QU39,100,2017-01-26T09:46:03Z,2017-01-26T10:27:00Z,2000
QMIC1979,2017-01-26T00:00:00Z,QU39,260,2017-01-26T09:09:28Z,2017-01-26T09:33:12Z,2000
QMIC1985,2017-02-17T00:00:00Z,QU39,0,2017-02-17T09:52:21Z,2017-02-17T11:04:21Z,2000
QMIC1986,2017-02-17T00:00:00Z,QU39,5,2017-02-17T09:52:21Z,2017-02-17T11:04:21Z,2000
QMIC1987,2017-02-17T00:00:00Z,QU39,30,2017-02-17T09:52:21Z,2017-02-17T11:04:21Z,2000
QMIC1988,2017-02-17T00:00:00Z,QU39,100,2017-02-17T09:52:21Z,2017-02-17T11:04:21Z,2000
QMIC1989,2017-02-17T00:00:00Z,QU39,260,2017-02-17T08:45:06Z,2017-02-17T10:05:29Z,2000
QMIC1995,2017-02-25T00:00:00Z,QU39,0,2017-02-25T09:38:38Z,2017-02-25T10:16:51Z,2000
QMIC1996,2017-02-25T00:00:00Z,QU39,5,2017-02-25T09:38:38Z,2017-02-25T10:16:51Z,2000
QMIC1997,2017-02-25T00:00:00Z,QU39,30,2017-02-25T09:38:38Z,2017-02-25T10:16:51Z,2000
QMIC1998,2017-02-25T00:00:00Z,QU39,100,2017-02-25T09:38:38Z,2017-02-25T10:16:51Z,2000
QMIC1999,2017-02-25T00:00:00Z,QU39,260,2017-02-25T09:21:13Z,2017-02-25T09:35:20Z,2000
QMIC2005,2017-03-15T00:00:00Z,QU39,0,2017-03-15T09:08:38Z,2017-03-15T09:38:32Z,2000
QMIC2006,2017-03-15T00:00:00Z,QU39,5,2017-03-15T09:08:38Z,2017-03-15T09:38:32Z,2000
QMIC2007,2017-03-15T00:00:00Z,QU39,30,2017-03-15T09:08:38Z,2017-03-15T09:38:32Z,1950
QMIC2008,2017-03-15T00:00:00Z,QU39,100,2017-03-15T09:08:38Z,2017-03-15T09:38:32Z,2000
QMIC2009,2017-03-15T00:00:00Z,QU39,260,2017-03-15T08:35:54Z,2017-03-15T09:06:58Z,2000
QMIC2015,2017-03-30T00:00:00Z,QU39,0,2017-03-30T08:51:59Z,2017-03-30T09:17:27Z,2000
QMIC2016,2017-03-30T00:00:00Z,QU39,5,2017-03-30T08:51:59Z,2017-03-30T09:17:27Z,2000
QMIC2017,2017-03-30T00:00:00Z,QU39,30,2017-03-30T08:51:59Z,2017-03-30T09:17:27Z,2000
QMIC2018,2017-03-30T00:00:00Z,QU39,100,2017-03-30T08:51:59Z,2017-03-30T09:17:27Z,2000
QMIC2019,2017-03-30T00:00:00Z,QU39,260,2017-03-30T08:26:55Z,2017-03-30T08:39:28Z,2000
QMIC2025,2017-04-07T00:00:00Z,QU39,0,2017-04-07T08:16:42Z,2017-04-07T09:22:36Z,2000
QMIC2026,2017-04-07T00:00:00Z,QU39,5,2017-04-07T08:16:42Z,2017-04-07T09:22:36Z,2000
QMIC2027,2017-04-07T00:00:00Z,QU39,30,2017-04-07T08:16:42Z,2017-04-07T09:22:36Z,2000
QMIC2028,2017-04-07T00:00:00Z,QU39,100,2017-04-07T08:16:42Z,2017-04-07T09:22:36Z,2000
QMIC2029,2017-04-07T00:00:00Z,QU39,260,2017-04-07T07:48:39Z,2017-04-07T08:01:32Z,2000
